,well,lat,lon
512,15/9-F-4,6478560.84,435049.84
513,15/9-F-5,6478558.97,435050.94
514,15/9-F-7,6478565.5,435048.94
515,15/9-F-9,6478561.44,435051.15
516,15/9-F-9 A,6478561.44,435051.15
517,15/9-U-1,6470429.9,436280.19
518,15/9-U-10,6476085.7,425125.18
519,15/9-U-11,6475953.28,436127.94
520,15/9-U-12,6470505.05,436357.96
521,15/9-U-13,6484902.75,425549.03
522,15/9-U-2,6470404.82,436262.55
523,15/9-U-3,6470259.86,436139.92
524,15/9-U-4,6477872.04,437500.95
525,15/9-U-5,6476086.32,425092.73
526,15/9-U-6,6476210.02,425095.09
527,15/9-U-7,6476088.49,424979.14
528,15/9-U-8,6475992.92,425123.41
529,15/9-U-9,6476083.85,425222.54
530,16/1-1,6539317.03,444490.52
531,16/1-10,6524177.97,458183.01
532,16/1-11,6532327.0,453098.97
533,16/1-11 A,6532327.0,453098.97
534,16/1-11 T2,6532327.0,453098.97
535,16/1-12,6518862.54,457482.17
536,16/1-13,6524276.81,457013.22
537,16/1-14,6527772.15,454052.09
538,16/1-14 T2,6527772.15,454052.09
539,16/1-15,6526327.33,457412.51
540,16/1-15 A,6526327.33,457412.51
541,16/1-15 AT2,6526327.33,457412.51
542,16/1-16,6530777.71,457674.77
543,16/1-16 A,6530777.71,457674.77
544,16/1-17,6522396.52,460929.42
545,16/1-18,6522730.93,458987.03
546,16/1-19 S,6530030.06,459899.46
547,16/1-2,6533324.63,455231.21
548,16/1-20 A,6530031.93,459898.04
549,16/1-20 AT3,6530031.93,459898.04
550,16/1-21 A,6532476.9,455267.9
551,16/1-21 S,6532476.9,455267.9
552,16/1-22 A,6530083.86,451726.15
553,16/1-22 B,6530083.86,451726.15
554,16/1-22 S,6530083.86,451726.15
555,16/1-23 S,6521465.73,458553.52
556,16/1-24,6515972.54,448523.16
557,16/1-25 S,6516226.12,456918.19
558,16/1-26 A,6531823.31,453821.52
559,16/1-26 S,6531823.31,453821.52
560,16/1-27,6522480.48,453769.86
561,16/1-28 S,6519754.16,457867.95
562,16/1-29 S,6537391.93,459497.03
563,16/1-3,6519834.64,445067.06
564,16/1-4,6525418.88,459562.76
565,16/1-5,6518040.86,451073.37
566,16/1-5 A,6518040.86,451073.37
567,16/1-6 A,6539424.89,459501.21
568,16/1-6 S,6539424.89,459501.21
569,16/1-7,6533063.65,449827.58
570,16/1-8,6522162.97,455844.01
571,16/1-8 A,6522162.97,455844.01
572,16/1-8 R,6522162.97,455844.01
573,16/1-9,6530827.42,454037.12
574,16/1-A-1,6522936.29,456611.73
575,16/1-A-10,6522933.14,456616.34
576,16/1-A-10 A,6522933.14,456616.34
577,16/1-A-10 AT2,6522933.14,456616.34
578,16/1-A-11,6522934.67,456617.8
579,16/1-A-11 A,6522934.67,456617.8
580,16/1-A-11 AT2,6522934.67,456617.8
581,16/1-A-12,6522935.57,456620.7
582,16/1-A-12 T2,6522935.57,456620.7
583,16/1-A-13,6522929.75,456615.5
584,16/1-A-15,6522932.18,456619.7
585,16/1-A-18,6522928.79,456618.86
586,16/1-A-19,6522930.0,456621.12
587,16/1-A-2,6522937.5,456613.99
588,16/1-A-2 T2,6522937.5,456613.99
589,16/1-A-2 T3,6522937.5,456613.99
590,16/1-A-2 T4,6522937.5,456613.99
591,16/1-A-2 T5,6522937.5,456613.99
592,16/1-A-2 T6,6522937.5,456613.99
593,16/1-A-20,6522931.21,456623.22
594,16/1-A-3,6522938.72,456616.09
595,16/1-A-5,6522934.11,456612.99
596,16/1-A-6,6522935.32,456615.09
597,16/1-A-7,6522936.54,456617.34
598,16/1-A-7 T2,6522936.54,456617.34
599,16/1-A-8,6522937.75,456619.44
600,16/1-A-8 A,6522937.75,456619.44
601,16/1-D-1,6531827.67,453819.01
602,16/1-D-10,6531824.52,453823.61
603,16/1-D-11,6531825.73,453825.87
604,16/1-D-11 A,6531825.73,453825.87
605,16/1-D-12,6531826.94,453828.12
606,16/1-D-14,6531822.34,453824.87
607,16/1-D-14 T2,6531822.34,453824.87
608,16/1-D-14 T3,6531822.34,453824.87
609,16/1-D-16,6531824.77,453829.21
610,16/1-D-19,6531821.37,453828.37
611,16/1-D-2,6531828.88,453821.27
612,16/1-D-2 T2,6531828.88,453821.27
613,16/1-D-3,6531830.1,453823.36
614,16/1-D-4,6531831.31,453825.61
615,16/1-D-5,6531825.49,453820.26
616,16/1-D-6,6531826.7,453822.52
617,16/1-D-6 A,6531826.7,453822.52
618,16/1-D-7,6531827.91,453824.61
619,16/1-D-8,6531829.13,453826.87
620,16/1-D-9,6531823.31,453821.52
621,16/1-D-9 A,6531823.31,453821.52
622,16/1-D-9 B,6531823.0,453821.35
623,16/1-U-1,6522919.65,456660.93
624,16/1-U-10,6531844.26,454269.21
625,16/1-U-2,6522950.29,456604.99
626,16/1-U-3,6522887.19,456604.28
627,16/1-U-4,6523004.43,456631.73
628,16/1-U-5,6522969.4,456693.55
629,16/1-U-6,6527773.19,454068.75
630,16/1-U-7,6531823.89,453825.04
631,16/1-U-8,6522930.16,456606.85
632,16/1-U-9,6531813.52,454252.85
633,16/10-1,6435546.75,444163.52
634,16/10-2,6444927.85,443327.64
635,16/10-3,6453751.14,460416.92
636,16/10-4,6438401.0,452774.85
637,16/10-5,6429296.51,448698.86
638,16/10-U-1,6429188.13,448781.05
639,16/10-U-2,6429230.54,448730.36
640,16/10-U-3,6429345.53,448687.83
641,16/10-U-4,6429291.57,448650.35
642,16/11-1 S,6436483.75,474564.38
643,16/11-1 ST2,6436483.75,474564.38
644,16/11-1 ST3,6436483.75,474564.38
645,16/11-2,6449614.03,468787.06
646,16/11-U-1,6450118.71,469153.32
647,16/11-U-2,6450118.71,469153.32
648,16/2-1,6528477.9,462951.38
649,16/2-10,6524086.78,473675.68
650,16/2-11,6518414.99,475280.98
651,16/2-11 A,6518414.99,475280.98
652,16/2-12,6527456.29,470505.67
